latitude,longitude,path,row,scan,track,acq_date,acq_time,satellite,confidence,daynight
40.293027,-80.415547,017,032,1283,4049,2025-07-17,1558,L9,low,D
40.292486,-80.415551,017,032,1283,4051,2025-07-17,1558,L9,low,D
40.293025,-80.415194,017,032,1284,4049,2025-07-17,1558,L9,low,D
40.292484,-80.415198,017,032,1284,4051,2025-07-17,1558,L9,high,D
40.293564,-80.414836,017,032,1285,4047,2025-07-17,1558,L9,low,D
40.36376,-80.400096,017,032,1325,3787,2025-07-17,1558,L9,high,D
40.36349,-80.400099,017,032,1325,3788,2025-07-17,1558,L9,medium,D
39.686054,-80.383263,017,032,1390,6294,2025-07-17,1558,L9,high,D
39.685784,-80.383265,017,032,1390,6295,2025-07-17,1558,L9,high,D
40.668049,-80.344493,017,032,1474,2660,2025-07-17,1558,L9,low,D
40.452827,-80.283613,017,032,1652,3455,2025-07-17,1558,L9,high,D
40.300442,-80.132729,017,032,2084,4015,2025-07-17,1558,L9,high,D
41.305042,-80.008101,017,032,2395,294,2025-07-17,1558,L9,high,D
40.135093,-80.005951,017,032,2450,4623,2025-07-17,1558,L9,high,D
40.134823,-80.005955,017,032,2450,4624,2025-07-17,1558,L9,high,D
40.345949,-79.979549,017,032,2516,3842,2025-07-17,1558,L9,high,D
41.020021,-79.897496,017,032,2717,1345,2025-07-17,1558,L9,high,D
40.163493,-79.889283,017,032,2780,4514,2025-07-17,1558,L9,medium,D
40.163223,-79.889287,017,032,2780,4515,2025-07-17,1558,L9,high,D
40.16349,-79.88893,017,032,2781,4514,2025-07-17,1558,L9,high,D
40.16322,-79.888935,017,032,2781,4515,2025-07-17,1558,L9,high,D
40.16295,-79.888939,017,032,2781,4516,2025-07-17,1558,L9,high,D
40.304459,-79.877093,017,032,2808,3992,2025-07-17,1558,L9,medium,D
40.305797,-79.875658,017,032,2812,3987,2025-07-17,1558,L9,high,D
40.304158,-79.87392,017,032,2817,3993,2025-07-17,1558,L9,medium,D
40.393211,-79.860066,017,032,2852,3663,2025-07-17,1558,L9,medium,D
40.392941,-79.860071,017,032,2852,3664,2025-07-17,1558,L9,medium,D
40.392934,-79.859364,017,032,2854,3664,2025-07-17,1558,L9,high,D
40.395633,-79.858965,017,032,2855,3654,2025-07-17,1558,L9,medium,D
40.39293,-79.859011,017,032,2855,3664,2025-07-17,1558,L9,high,D
40.392927,-79.858657,017,032,2856,3664,2025-07-17,1558,L9,high,D
40.392657,-79.858662,017,032,2856,3665,2025-07-17,1558,L9,high,D
40.392923,-79.858304,017,032,2857,3664,2025-07-17,1558,L9,medium,D
40.394801,-79.856858,017,032,2861,3657,2025-07-17,1558,L9,medium,D
40.394798,-79.856505,017,032,2862,3657,2025-07-17,1558,L9,high,D
40.394794,-79.856151,017,032,2863,3657,2025-07-17,1558,L9,high,D
40.393713,-79.85617,017,032,2863,3661,2025-07-17,1558,L9,medium,D
40.395324,-79.855082,017,032,2866,3655,2025-07-17,1558,L9,medium,D
40.395591,-79.854724,017,032,2867,3654,2025-07-17,1558,L9,medium,D
40.393159,-79.854765,017,032,2867,3663,2025-07-17,1558,L9,high,D
40.392888,-79.85477,017,032,2867,3664,2025-07-17,1558,L9,high,D
40.395587,-79.85437,017,032,2868,3654,2025-07-17,1558,L9,medium,D
40.393155,-79.854412,017,032,2868,3663,2025-07-17,1558,L9,high,D
40.392885,-79.854416,017,032,2868,3664,2025-07-17,1558,L9,high,D
40.392615,-79.854421,017,032,2868,3665,2025-07-17,1558,L9,medium,D
40.393152,-79.854058,017,032,2869,3663,2025-07-17,1558,L9,high,D
40.392881,-79.854063,017,032,2869,3664,2025-07-17,1558,L9,high,D
40.392611,-79.854067,017,032,2869,3665,2025-07-17,1558,L9,medium,D
40.392878,-79.853709,017,032,2870,3664,2025-07-17,1558,L9,medium,D
40.392608,-79.853714,017,032,2870,3665,2025-07-17,1558,L9,medium,D
40.39312,-79.850877,017,032,2878,3663,2025-07-17,1558,L9,medium,D
40.405551,-79.797635,017,032,3028,3615,2025-07-17,1558,L9,low,D
40.391991,-79.66992,017,032,3390,3660,2025-07-17,1558,L9,low,D
40.840613,-79.092368,017,032,4988,1970,2025-07-17,1558,L9,low,D
40.840607,-79.092012,017,032,4989,1970,2025-07-17,1558,L9,high,D
29.65768,-83.36091,017,039,730,6251,2025-07-17,1601,L9,high,D
30.118388,-83.309539,017,039,930,4552,2025-07-17,1601,L9,low,D
30.118394,-83.309228,017,039,931,4552,2025-07-17,1601,L9,low,D
30.117063,-83.307952,017,039,935,4557,2025-07-17,1601,L9,high,D
30.11544,-83.307914,017,039,935,4563,2025-07-17,1601,L9,high,D
30.419638,-83.306614,017,039,962,3439,2025-07-17,1601,L9,high,D
30.419368,-83.306607,017,039,962,3440,2025-07-17,1601,L9,high,D
30.419644,-83.306302,017,039,963,3439,2025-07-17,1601,L9,high,D
30.419373,-83.306295,017,039,963,3440,2025-07-17,1601,L9,high,D
30.173792,-83.298372,017,039,970,4348,2025-07-17,1601,L9,high,D
30.173521,-83.298366,017,039,970,4349,2025-07-17,1601,L9,high,D
30.173251,-83.29836,017,039,970,4350,2025-07-17,1601,L9,high,D
30.173527,-83.298055,017,039,971,4349,2025-07-17,1601,L9,low,D
30.117233,-83.282742,017,039,1016,4558,2025-07-17,1601,L9,low,D
30.363249,-83.281571,017,039,1038,3649,2025-07-17,1601,L9,high,D
30.363525,-83.281266,017,039,1039,3648,2025-07-17,1601,L9,high,D
30.363255,-83.281259,017,039,1039,3649,2025-07-17,1601,L9,high,D
30.364071,-83.280966,017,039,1040,3646,2025-07-17,1601,L9,high,D
30.363801,-83.28096,017,039,1040,3647,2025-07-17,1601,L9,high,D
30.36353,-83.280954,017,039,1040,3648,2025-07-17,1601,L9,high,D
30.36326,-83.280948,017,039,1040,3649,2025-07-17,1601,L9,high,D
30.168246,-83.259312,017,039,1095,4371,2025-07-17,1601,L9,high,D
30.166893,-83.259281,017,039,1095,4376,2025-07-17,1601,L9,low,D
30.168522,-83.259007,017,039,1096,4370,2025-07-17,1601,L9,high,D
30.168251,-83.259001,017,039,1096,4371,2025-07-17,1601,L9,high,D
30.168798,-83.258702,017,039,1097,4369,2025-07-17,1601,L9,medium,D
30.168527,-83.258695,017,039,1097,4370,2025-07-17,1601,L9,high,D
30.169344,-83.258403,017,039,1098,4367,2025-07-17,1601,L9,high,D
30.169074,-83.258396,017,039,1098,4368,2025-07-17,1601,L9,high,D
30.168803,-83.25839,017,039,1098,4369,2025-07-17,1601,L9,high,D
30.168533,-83.258384,017,039,1098,4370,2025-07-17,1601,L9,high,D
30.168262,-83.258378,017,039,1098,4371,2025-07-17,1601,L9,high,D
30.169079,-83.258085,017,039,1099,4368,2025-07-17,1601,L9,high,D
30.168809,-83.258079,017,039,1099,4369,2025-07-17,1601,L9,high,D
30.168538,-83.258073,017,039,1099,4370,2025-07-17,1601,L9,high,D
30.636369,-83.261984,017,039,1121,2641,2025-07-17,1601,L9,high,D
30.636099,-83.261977,017,039,1121,2642,2025-07-17,1601,L9,high,D
30.636375,-83.261671,017,039,1122,2641,2025-07-17,1601,L9,low,D
30.635039,-83.260701,017,039,1125,2646,2025-07-17,1601,L9,high,D
30.635044,-83.260388,017,039,1126,2646,2025-07-17,1601,L9,high,D
30.863027,-83.221492,017,039,1267,1806,2025-07-17,1601,L9,low,D
30.568945,-83.20131,017,039,1310,2894,2025-07-17,1601,L9,low,D
30.755283,-83.176086,017,039,1404,2207,2025-07-17,1601,L9,medium,D
30.327775,-83.155339,017,039,1440,3788,2025-07-17,1601,L9,high,D
30.327505,-83.155333,017,039,1440,3789,2025-07-17,1601,L9,high,D
30.32751,-83.155021,017,039,1441,3789,2025-07-17,1601,L9,high,D
30.356825,-83.099803,017,039,1620,3684,2025-07-17,1601,L9,high,D
30.358188,-83.099208,017,039,1622,3679,2025-07-17,1601,L9,high,D
30.358463,-83.098902,017,039,1623,3678,2025-07-17,1601,L9,high,D
30.358193,-83.098896,017,039,1623,3679,2025-07-17,1601,L9,high,D
30.069154,-83.064452,017,039,1714,4749,2025-07-17,1601,L9,low,D
31.066004,-83.073733,017,039,1752,1065,2025-07-17,1601,L9,low,D
31.066009,-83.073419,017,039,1753,1065,2025-07-17,1601,L9,low,D
31.072251,-83.072297,017,039,1757,1042,2025-07-17,1601,L9,high,D
31.07198,-83.072291,017,039,1757,1043,2025-07-17,1601,L9,high,D
